建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
拍 总力(带环) 总力(无环) 差最大的肌肉 差值 |     本体感觉     平衡感觉     机身状态     运动记忆     视觉运动      前额叶       听觉       视觉       运动
  3    7.00     7.00   左前髋       +0.00 |    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00
  6    6.70     6.70   左前髋       +0.00 |    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00
  9    7.70     7.30   右后髋       +0.20 |    +0.00    +0.00    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 12    7.70     7.20   右前大腿      +0.20 |    +0.00    +0.00    +0.00  +138.00    +0.00    +0.00    +0.00    +0.00    +0.00
 15    8.10     7.00   左前小腿      +0.50 |    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00
 18    7.10     7.20   右前大腿      -0.10 |    +0.00  -100.50    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 21    7.40     6.90   右前小腿      +0.20 |    +0.00   -63.50    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 24    7.90     7.40   右前大腿      +0.20 |    +0.00   +56.50    +0.00  +138.00    +0.00    +0.00    +0.00    +0.00    +0.00
 27    7.60     7.20   右前大腿      +0.20 |    +0.00   +30.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00
 30    7.00     6.90   左后髋       +0.10 |    +0.00   +60.00    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 33    7.70     7.00   右后小腿      +0.20 |    +0.00   +23.00    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 36    7.30     6.70   左后小腿      +0.20 |    +0.00   -40.50    +0.00  +138.00    +0.00    +0.00    +0.00    +0.00    +0.00
 39    7.70     7.20   右前大腿      +0.20 |    +0.00   +30.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00    +0.00
 42    7.20     7.20   左前髋       +0.00 |    +0.00    +0.00    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 45    7.90     6.90   左前小腿      +0.30 |    +0.00    +0.00    +0.00  +140.00    +0.00    +0.00    +0.00    +0.00    +0.00
 48    7.60     6.90   右后小腿      +0.20 |    +0.00   +10.50    +0.00  +138.00    +0.00    +0.00    +0.00    +0.00    +0.00
