眼睛跟随（R6）：三幕轨迹，2b7bba 是眼的方位角，b03a2e 是球在视野里的方位角
这三条是 出一张图_论文_20260915.py 图6() 现场跑出来的，画 Figure 7 时写盘

== (a) object crossing the field  [小横着飘 {'球方位角': -25.0, '球半径': 0.05, '球横速': 0.5, '秒数': 5.0}] ==
  秒     球方位角     眼方位角
   0.00     -29.20      -0.20
   0.02     -28.66      -0.54
   0.04     -28.02      -0.99
   0.06     -27.30      -1.51
   0.08     -26.52      -2.09
   0.10     -25.71      -2.70
   0.12     -24.87      -3.35
   0.14     -24.01      -4.01
   0.16     -23.13      -4.69
   0.18     -22.24      -5.37
   0.20     -21.34      -6.07
   0.22     -20.44      -6.77
   0.24     -19.53      -7.47
   0.26     -18.62      -8.18
   0.28     -17.71      -8.89
   0.30     -16.79      -9.60
   0.32     -15.87     -10.31
   0.34     -14.95     -11.03
   0.36     -14.03     -11.74
   0.38     -13.11     -12.45
   0.40     -12.19     -13.17
   0.42     -11.26     -13.88
   0.44     -10.34     -14.59
   0.46      -9.41     -15.31
   0.48      -8.49     -16.02
   0.50      -7.56     -16.74
   0.52      -6.83     -17.25
   0.54      -6.25     -17.62
   0.56      -5.77     -17.89
   0.58      -5.36     -18.08
   0.60      -5.01     -18.22
   0.62      -4.69     -18.32
   0.64      -4.40     -18.39
   0.66      -4.13     -18.44
   0.68      -3.87     -18.48
   0.70      -3.63     -18.50
   0.72      -3.39     -18.52
   0.74      -3.15     -18.54
   0.76      -2.92     -18.55
   0.78      -2.69     -18.55
   0.80      -2.46     -18.56
   0.82      -2.23     -18.56
   0.84      -2.01     -18.56
   0.86      -1.78     -18.57
   0.88      -1.55     -18.57
   0.90      -1.32     -18.57
   0.92      -1.10     -18.57
   0.94      -0.87     -18.57
   0.96      -0.64     -18.57
   0.98      -0.41     -18.57
   1.00      -0.18     -18.57
   1.02       0.05     -18.57
   1.04       0.28     -18.57
   1.06       0.51     -18.57
   1.08       0.75     -18.57
   1.10       0.98     -18.57
   1.12       1.21     -18.57
   1.14       1.45     -18.57
   1.16       1.68     -18.57
   1.18       1.92     -18.57
   1.20       2.15     -18.57
   1.22       2.39     -18.57
   1.24       2.63     -18.57
   1.26       2.86     -18.57
   1.28       3.10     -18.57
   1.30       3.34     -18.57
   1.32       3.58     -18.57
   1.34       3.82     -18.57
   1.36       4.06     -18.57
   1.38       4.30     -18.57
   1.40       4.54     -18.57
   1.42       4.58     -18.37
