建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
站起来块 60 个细胞，走路块 15 个细胞
=== A 趴着无图 ===
    0 0.00 末高0.102 歪  5 | 站起来链  1 走路链  0 | 前额   0 视觉    0 听觉    0 运动  0 运记   1 | 力[0. 0. 0.]
    4 0.08 末高0.105 歪  4 | 站起来链  1 走路链  0 | 前额   0 视觉    0 听觉    0 运动 50 运记   1 | 力[0.5 0.7 0. ]
    8 0.16 末高0.099 歪  2 | 站起来链  1 走路链  0 | 前额   0 视觉    0 听觉    0 运动 50 运记   1 | 力[0.5 0.7 0. ]
   12 0.24 末高0.100 歪  2 | 站起来链  1 走路链  0 | 前额   0 视觉    0 听觉    0 运动 52 运记   1 | 力[0.5 0.7 0.1]
   16 0.32 末高0.120 歪  0 | 站起来链  1 走路链  0 | 前额   0 视觉    0 听觉    0 运动 52 运记   1 | 力[0.5 0.7 0.1]
   20 0.40 末高0.120 歪  1 | 站起来链  1 走路链  0 | 前额   0 视觉    0 听觉    0 运动 52 运记   1 | 力[0.5 0.7 0.1]
   24 0.48 末高0.131 歪  1 | 站起来链  1 走路链  0 | 前额   1 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.7 0.2]
   28 0.56 末高0.153 歪  1 | 站起来链  1 走路链  0 | 前额   1 视觉    0 听觉    0 运动 52 运记   1 | 力[0.5 0.6 0.2]
   32 0.64 末高0.165 歪  1 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.6 0.3]
   36 0.72 末高0.185 歪  0 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.6 0.3]
   40 0.80 末高0.198 歪  0 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.6 0.4]
   44 0.88 末高0.222 歪  1 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.5 0.4]
   48 0.96 末高0.240 歪  2 | 站起来链  1 走路链  0 | 前额   5 视觉    0 听觉    0 运动 56 运记   1 | 力[0.5 0.5 0.4]
   52 1.04 末高0.251 歪  0 | 站起来链  1 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   56 1.12 末高0.257 歪  0 | 站起来链  1 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   60 1.20 末高0.259 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   64 1.28 末高0.259 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   68 1.36 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   72 1.44 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   76 1.52 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   80 1.60 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   84 1.68 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   88 1.76 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   92 1.84 末高0.260 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
   96 1.92 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  100 2.00 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  104 2.08 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  108 2.16 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  112 2.24 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  116 2.32 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  120 2.40 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  124 2.48 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  128 2.56 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  132 2.64 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  136 2.72 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  140 2.80 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  144 2.88 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
  148 2.96 末高0.261 歪  0 | 站起来链  0 走路链  0 | 前额   7 视觉    0 听觉    0 运动 60 运记   1 | 力[0.5 0.5 0.5]
=== B 站着看红 ===
