建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
### ① 带环（会摔）（种子 20260915）
   拍    高    歪  前额亮  回全部 回运动  运动亮  走链
   10  0.347    12    3719    1927      2      93     1
   20  0.402    22    3850    1925      0      94     1
   30  0.382    19    3861    1927      2      90     0
   40  0.370    19    3866    1927      2      97     1
   50  0.378    20    3861    1925      0      89     1
   60  0.368    30    3860    1927      2      99     0
   70  0.316    50    3864    1927      2      94     1
   80  0.159   102    3861    1925      0      94     1
   90  0.115   151    3864    1927      2      89     0
  100  0.087   157    3865    1927      2      97     1
  110  0.060   176    3862    1927      2      90     1
  120  0.060   176    3863    1927      2      99     0
  130  0.061   176    3864    1927      2      93     1
  140  0.057   180    3862    1927      2      93     1
  150  0.059   179    3863    1927      2      88     0
  160  0.058   179    3866    1927      2      97     1
  170  0.056   180    3862    1927      2      89     1
  180  0.058   179    3862    1927      2      99     0
  190  0.059   179    3864    1927      2      92     1
  200  0.059   179    3863    1927      2      93     1
  -> 第 76 拍翻

建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
### ② 环关掉（不摔）（种子 20260915）
   拍    高    歪  前额亮  回全部 回运动  运动亮  走链
   10  0.341    13    2679    1927      2      93     1
   20  0.358    16    2679    1925      0      91     1
   30  0.372    11    2677    1925      0      89     0
   40  0.353     6    2679    1927      2      92     1
   50  0.341     3    2679    1925      0      91     1
   60  0.369     8    2677    1925      0      89     0
   70  0.370     7    2679    1927      2      92     1
   80  0.343     2    2679    1925      0      90     1
   90  0.367     6    2677    1925      0      89     0
  100  0.377     7    2679    1927      2      93     1
  110  0.340     2    2679    1925      0      89     1
  120  0.369    11    2677    1925      0      89     0
  130  0.367     7    2679    1927      2      92     1
  140  0.343     2    2679    1925      0      89     1
  150  0.367     7    2677    1925      0      89     0
  160  0.376     8    2679    1927      2      93     1
  170  0.343     3    2679    1925      0      90     1
  180  0.368     8    2677    1925      0      89     0
  190  0.371     8    2679    1927      2      93     1
  200  0.344     4    2678    1925      0      91     1
  -> 没翻

建皮层连接网：视觉23040、视觉细节23040、听觉30000、前额叶53200、运动160、运动记忆3576、本体感觉480、平衡感觉120、机身状态60、视觉运动1920、多巴胺200、抑制8000 共 143,796 个皮层神经元 ...
### ③ 带环 + 自压 0.002（种子 20260915）
   拍    高    歪  前额亮  回全部 回运动  运动亮  走链
   10  0.341    13       0    1927      2      93     1
   20  0.358    16       0    1925      0      91     1
   30  0.372    11       0    1925      0      89     0
   40  0.353     6       0    1927      2      92     1
   50  0.341     3       0    1925      0      91     1
   60  0.369     8       0    1925      0      89     0
   70  0.370     7       0    1927      2      92     1
   80  0.343     2       0    1925      0      90     1
   90  0.367     6       0    1925      0      89     0
  100  0.377     7       0    1927      2      93     1
  110  0.340     2       0    1925      0      89     1
  120  0.369    11       0    1925      0      89     0
  130  0.367     7       0    1927      2      92     1
  140  0.343     2       0    1925      0      89     1
  150  0.367     7       0    1925      0      89     0
  160  0.376     8       0    1927      2      93     1
  170  0.343     3       0    1925      0      90     1
  180  0.368     8       0    1925      0      89     0
  190  0.371     8       0    1927      2      93     1
  200  0.344     4       0    1925      0      91     1
  -> 没翻

